id_executor,cd_area_politica_publica_tipo_pt,area_politica_publica_tipo_pt,cd_area_politica_publica_pt,area_politica_publica_pt,id_plano_acao,uf_beneficiario_plano_acao
26861,15,Urbanismo,451,Infraestrutura Urbana ,,
26861,15,Urbanismo,452,Serviços Urbanos,,
29997,8,Assistência Social,244,Assistência Comunitária,31302.0,
4,15,Urbanismo,451,Infraestrutura Urbana ,,
5,20,Agricultura,606,Extensão Rural,,
20317,15,Urbanismo,453,Transportes Coletivos Urbanos,,
7,15,Urbanismo,451,Infraestrutura Urbana ,,
8,15,Urbanismo,451,Infraestrutura Urbana ,,
9,27,Desporto e Lazer,812,Desporto Comunitário,,
10,12,Educação,365,Educação Infantil,,
10,15,Urbanismo,451,Infraestrutura Urbana ,,
10,27,Desporto e Lazer,811,Desporto de Rendimento,,
10,27,Desporto e Lazer,812,Desporto Comunitário,,
10,27,Desporto e Lazer,813,Lazer,,
11,27,Desporto e Lazer,812,Desporto Comunitário,,
12,27,Desporto e Lazer,811,Desporto de Rendimento,,
13,15,Urbanismo,451,Infraestrutura Urbana ,,
14,10,Saúde,301,Atenção Básica,,
15,15,Urbanismo,451,Infraestrutura Urbana ,,
30353,27,Desporto e Lazer,812,Desporto Comunitário,,
27527,15,Urbanismo,452,Serviços Urbanos,,
27529,27,Desporto e Lazer,812,Desporto Comunitário,,
27529,27,Desporto e Lazer,813,Lazer,,
20322,10,Saúde,302,Assistência Hospitalar e Ambulatorial,,
27532,15,Urbanismo,451,Infraestrutura Urbana ,,
17,15,Urbanismo,451,Infraestrutura Urbana ,,
27532,15,Urbanismo,452,Serviços Urbanos,,
27539,27,Desporto e Lazer,812,Desporto Comunitário,,
28227,15,Urbanismo,451,Infraestrutura Urbana ,,
24001,15,Urbanismo,451,Infraestrutura Urbana ,,
18,26,Transporte,782,Transporte Rodoviário,,
19,8,Assistência Social,244,Assistência Comunitária,,
20,20,Agricultura,608,Promoção da Produção Agropecuária,,
21,27,Desporto e Lazer,813,Lazer,,
22,20,Agricultura,608,Promoção da Produção Agropecuária,,
23,15,Urbanismo,451,Infraestrutura Urbana ,,
24,15,Urbanismo,451,Infraestrutura Urbana ,,
25,13,Cultura,392,Difusão Cultural,,
25,23,Comércio e Serviços,691,Promoção Comercial,,
25,23,Comércio e Serviços,695,Turismo,,
28762,12,Educação,361,Ensino Fundamental,36786.0,
26,27,Desporto e Lazer,812,Desporto Comunitário,,
28497,12,Educação,361,Ensino Fundamental,,
27,18,Gestão Ambiental,541,Preservação e Conservação Ambiental,,
28511,15,Urbanismo,451,Infraestrutura Urbana ,15742.0,
28,12,Educação,361,Ensino Fundamental,,
29,15,Urbanismo,451,Infraestrutura Urbana ,,
30,15,Urbanismo,451,Infraestrutura Urbana ,,
30,18,Gestão Ambiental,541,Preservação e Conservação Ambiental,,
30,27,Desporto e Lazer,813,Lazer,,
31,15,Urbanismo,451,Infraestrutura Urbana ,,
32,15,Urbanismo,451,Infraestrutura Urbana ,,
33,15,Urbanismo,451,Infraestrutura Urbana ,,
34,15,Urbanismo,451,Infraestrutura Urbana ,,
27550,15,Urbanismo,451,Infraestrutura Urbana ,,
27551,10,Saúde,301,Atenção Básica,,
3681,26,Transporte,782,Transporte Rodoviário,,
36,15,Urbanismo,451,Infraestrutura Urbana ,,
37,15,Urbanismo,451,Infraestrutura Urbana ,,
37,15,Urbanismo,452,Serviços Urbanos,,
37,15,Urbanismo,453,Transportes Coletivos Urbanos,,
31830,15,Urbanismo,451,Infraestrutura Urbana ,,
38,6,Segurança Pública,182,Defesa Civil,,
9429,8,Assistência Social,241,Assistência ao Idoso,,
1061,15,Urbanismo,451,Infraestrutura Urbana ,,
32579,15,Urbanismo,451,Infraestrutura Urbana ,,
39,15,Urbanismo,451,Infraestrutura Urbana ,,
40,15,Urbanismo,451,Infraestrutura Urbana ,,
33288,15,Urbanismo,451,Infraestrutura Urbana ,,
41,6,Segurança Pública,182,Defesa Civil,,
23695,20,Agricultura,608,Promoção da Produção Agropecuária,,
19700,13,Cultura,392,Difusão Cultural,,
42,15,Urbanismo,451,Infraestrutura Urbana ,,
43,15,Urbanismo,451,Infraestrutura Urbana ,,
858,13,Cultura,392,Difusão Cultural,,
44,15,Urbanismo,451,Infraestrutura Urbana ,,
45,15,Urbanismo,451,Infraestrutura Urbana ,,
46,15,Urbanismo,451,Infraestrutura Urbana ,,
47,15,Urbanismo,451,Infraestrutura Urbana ,,
48,12,Educação,361,Ensino Fundamental,,
20811,8,Assistência Social,244,Assistência Comunitária,,
50,15,Urbanismo,451,Infraestrutura Urbana ,,
51,20,Agricultura,608,Promoção da Produção Agropecuária,,
52,15,Urbanismo,451,Infraestrutura Urbana ,,
53,13,Cultura,392,Difusão Cultural,,
53,15,Urbanismo,451,Infraestrutura Urbana ,,
53,27,Desporto e Lazer,813,Lazer,,
28512,27,Desporto e Lazer,812,Desporto Comunitário,,
54,15,Urbanismo,451,Infraestrutura Urbana ,,
11515,15,Urbanismo,452,Serviços Urbanos,,
2601,15,Urbanismo,451,Infraestrutura Urbana ,,
27524,15,Urbanismo,451,Infraestrutura Urbana ,,
17309,10,Saúde,301,Atenção Básica,,
2117,15,Urbanismo,451,Infraestrutura Urbana ,,
8387,27,Desporto e Lazer,813,Lazer,,
23311,15,Urbanismo,451,Infraestrutura Urbana ,,
29195,25,Energia,753,Combustíveis Minerais,,
11336,26,Transporte,782,Transporte Rodoviário,,
28229,11,Trabalho,334,Fomento ao Trabalho,,
29195,26,Transporte,782,Transporte Rodoviário,,
29195,26,Transporte,785,Transportes Especiais,,
24246,15,Urbanismo,451,Infraestrutura Urbana ,,
29997,10,Saúde,302,Assistência Hospitalar e Ambulatorial,31302.0,
29573,15,Urbanismo,451,Infraestrutura Urbana ,,
29574,26,Transporte,782,Transporte Rodoviário,,
29581,15,Urbanismo,452,Serviços Urbanos,,
29582,12,Educação,361,Ensino Fundamental,,
15485,20,Agricultura,608,Promoção da Produção Agropecuária,,
29583,13,Cultura,392,Difusão Cultural,,
29585,26,Transporte,785,Transportes Especiais,,
15556,10,Saúde,304,Vigilância Sanitária,,
29587,10,Saúde,301,Atenção Básica,,
15543,10,Saúde,304,Vigilância Sanitária,,
21541,8,Assistência Social,244,Assistência Comunitária,,
17373,13,Cultura,391,"Patrimônio Histórico, Artístico e Arqueológico",,
29588,26,Transporte,785,Transportes Especiais,,
29589,15,Urbanismo,451,Infraestrutura Urbana ,,
5459,20,Agricultura,608,Promoção da Produção Agropecuária,,
29591,8,Assistência Social,244,Assistência Comunitária,,
21301,15,Urbanismo,451,Infraestrutura Urbana ,,
32580,8,Assistência Social,244,Assistência Comunitária,,
29592,27,Desporto e Lazer,812,Desporto Comunitário,,
29593,15,Urbanismo,451,Infraestrutura Urbana ,,
29594,15,Urbanismo,451,Infraestrutura Urbana ,,
29595,10,Saúde,302,Assistência Hospitalar e Ambulatorial,,
20556,17,Saneamento,512,Saneamento Básico Urbano,,
29596,15,Urbanismo,451,Infraestrutura Urbana ,,
29597,15,Urbanismo,451,Infraestrutura Urbana ,,
29997,12,Educação,361,Ensino Fundamental,31302.0,
29997,12,Educação,365,Educação Infantil,31302.0,
29598,27,Desporto e Lazer,813,Lazer,,
29599,13,Cultura,392,Difusão Cultural,,
29600,15,Urbanismo,451,Infraestrutura Urbana ,,
29997,15,Urbanismo,452,Serviços Urbanos,31302.0,
29601,15,Urbanismo,451,Infraestrutura Urbana ,,
29602,15,Urbanismo,451,Infraestrutura Urbana ,,
29997,18,Gestão Ambiental,544,Recursos Hídricos,31302.0,
21840,23,Comércio e Serviços,695,Turismo,,
1934,15,Urbanismo,451,Infraestrutura Urbana ,,
29603,27,Desporto e Lazer,813,Lazer,,
29604,15,Urbanismo,451,Infraestrutura Urbana ,,
29605,15,Urbanismo,451,Infraestrutura Urbana ,,
29606,15,Urbanismo,451,Infraestrutura Urbana ,,
29607,20,Agricultura,608,Promoção da Produção Agropecuária,,
9309,15,Urbanismo,451,Infraestrutura Urbana ,,
9309,20,Agricultura,608,Promoção da Produção Agropecuária,,
26050,8,Assistência Social,243,Assistência à Criança e ao Adolescente,,
29608,15,Urbanismo,451,Infraestrutura Urbana ,,
29609,18,Gestão Ambiental,542,Controle Ambiental,,
29610,10,Saúde,301,Atenção Básica,,
8122,23,Comércio e Serviços,695,Turismo,,
8122,27,Desporto e Lazer,813,Lazer,,
29611,15,Urbanismo,451,Infraestrutura Urbana ,,
30962,18,Gestão Ambiental,542,Controle Ambiental,,
30962,20,Agricultura,605,Abastecimento,,
29614,15,Urbanismo,451,Infraestrutura Urbana ,,
12014,20,Agricultura,608,Promoção da Produção Agropecuária,,
29615,15,Urbanismo,451,Infraestrutura Urbana ,,
18711,20,Agricultura,605,Abastecimento,,
6385,15,Urbanismo,451,Infraestrutura Urbana ,,
29616,18,Gestão Ambiental,541,Preservação e Conservação Ambiental,,
29617,8,Assistência Social,244,Assistência Comunitária,,
29617,14,Direitos da Cidadania,422,"Direitos Individuais, Coletivos e Difusos",,
29618,13,Cultura,392,Difusão Cultural,,
6387,15,Urbanismo,451,Infraestrutura Urbana ,,
29619,8,Assistência Social,244,Assistência Comunitária,,
29620,8,Assistência Social,244,Assistência Comunitária,,
29621,20,Agricultura,608,Promoção da Produção Agropecuária,,
29622,16,Habitação,482,Habitação Urbana,,
27882,20,Agricultura,608,Promoção da Produção Agropecuária,,
29623,15,Urbanismo,451,Infraestrutura Urbana ,,
29624,10,Saúde,301,Atenção Básica,,
29625,20,Agricultura,608,Promoção da Produção Agropecuária,,
29626,27,Desporto e Lazer,812,Desporto Comunitário,,
12872,20,Agricultura,608,Promoção da Produção Agropecuária,,
56,10,Saúde,301,Atenção Básica,,
56,10,Saúde,302,Assistência Hospitalar e Ambulatorial,,
56,10,Saúde,303,Suporte Profilático e Terapêutico,,
56,10,Saúde,304,Vigilância Sanitária,,
56,10,Saúde,305,Vigilância Epidemiológica,,
56,10,Saúde,306,Alimentação e Nutrição,,
57,15,Urbanismo,451,Infraestrutura Urbana ,,
58,10,Saúde,301,Atenção Básica,,
59,12,Educação,365,Educação Infantil,,
59,23,Comércio e Serviços,695,Turismo,,
60,10,Saúde,301,Atenção Básica,,
61,20,Agricultura,606,Extensão Rural,68283.0,
62,15,Urbanismo,451,Infraestrutura Urbana ,,
63,15,Urbanismo,451,Infraestrutura Urbana ,,
64,12,Educação,361,Ensino Fundamental,,
64,12,Educação,362,Ensino Médio,,
64,12,Educação,365,Educação Infantil,,
64,12,Educação,368,Educação Básica,,
65,10,Saúde,301,Atenção Básica,,
66,15,Urbanismo,451,Infraestrutura Urbana ,,
27525,15,Urbanismo,451,Infraestrutura Urbana ,,
27533,10,Saúde,302,Assistência Hospitalar e Ambulatorial,,
27534,15,Urbanismo,451,Infraestrutura Urbana ,,
68,15,Urbanismo,452,Serviços Urbanos,,
69,15,Urbanismo,451,Infraestrutura Urbana ,10847.0,
70,12,Educação,361,Ensino Fundamental,,
27547,23,Comércio e Serviços,695,Turismo,,
70,15,Urbanismo,451,Infraestrutura Urbana ,,
28228,15,Urbanismo,451,Infraestrutura Urbana ,,
28230,12,Educação,368,Educação Básica,,
70,27,Desporto e Lazer,813,Lazer,,
71,26,Transporte,782,Transporte Rodoviário,,
72,13,Cultura,392,Difusão Cultural,,
73,20,Agricultura,606,Extensão Rural,,
74,27,Desporto e Lazer,812,Desporto Comunitário,,
75,15,Urbanismo,451,Infraestrutura Urbana ,,
76,12,Educação,367,Educação Especial,,
78,15,Urbanismo,451,Infraestrutura Urbana ,,
79,10,Saúde,301,Atenção Básica,,
80,15,Urbanismo,451,Infraestrutura Urbana ,,
81,12,Educação,361,Ensino Fundamental,,
81,15,Urbanismo,451,Infraestrutura Urbana ,,
81,20,Agricultura,608,Promoção da Produção Agropecuária,,
81,23,Comércio e Serviços,695,Turismo,,
82,20,Agricultura,608,Promoção da Produção Agropecuária,,
83,15,Urbanismo,451,Infraestrutura Urbana ,,
84,8,Assistência Social,241,Assistência ao Idoso,,
85,12,Educação,361,Ensino Fundamental,,
86,6,Segurança Pública,181,Policiamento,,
87,15,Urbanismo,451,Infraestrutura Urbana ,,
30354,27,Desporto e Lazer,812,Desporto Comunitário,,
88,10,Saúde,302,Assistência Hospitalar e Ambulatorial,,
16951,20,Agricultura,608,Promoção da Produção Agropecuária,,
15048,27,Desporto e Lazer,812,Desporto Comunitário,,
28511,12,Educação,365,Educação Infantil,15742.0,
30962,20,Agricultura,606,Extensão Rural,,
89,6,Segurança Pública,181,Policiamento,,
29000,15,Urbanismo,451,Infraestrutura Urbana ,,
28509,20,Agricultura,605,Abastecimento,,
90,15,Urbanismo,451,Infraestrutura Urbana ,74382.0,
91,6,Segurança Pública,181,Policiamento,,
3358,15,Urbanismo,452,Serviços Urbanos,,
28518,10,Saúde,301,Atenção Básica,,
29001,15,Urbanismo,452,Serviços Urbanos,,
92,27,Desporto e Lazer,813,Lazer,,
28518,15,Urbanismo,451,Infraestrutura Urbana ,,
20837,8,Assistência Social,241,Assistência ao Idoso,,
11337,26,Transporte,782,Transporte Rodoviário,,
28519,15,Urbanismo,451,Infraestrutura Urbana ,,
28520,15,Urbanismo,451,Infraestrutura Urbana ,,
28521,15,Urbanismo,451,Infraestrutura Urbana ,,
6499,15,Urbanismo,451,Infraestrutura Urbana ,,
26020,8,Assistência Social,244,Assistência Comunitária,,
20594,14,Direitos da Cidadania,421,Custódia e Reintegração Social,,
1420,13,Cultura,392,Difusão Cultural,,
1420,20,Agricultura,605,Abastecimento,,
28525,10,Saúde,301,Atenção Básica,,
28525,15,Urbanismo,451,Infraestrutura Urbana ,,
4255,20,Agricultura,606,Extensão Rural,,
28657,20,Agricultura,606,Extensão Rural,,
28514,20,Agricultura,608,Promoção da Produção Agropecuária,,
18436,15,Urbanismo,452,Serviços Urbanos,,
28515,10,Saúde,302,Assistência Hospitalar e Ambulatorial,,
28517,15,Urbanismo,451,Infraestrutura Urbana ,,
18825,12,Educação,361,Ensino Fundamental,,
16537,12,Educação,366,Educação de Jovens e Adultos,,
25963,20,Agricultura,606,Extensão Rural,,
12575,15,Urbanismo,451,Infraestrutura Urbana ,,
28523,15,Urbanismo,451,Infraestrutura Urbana ,,
28524,20,Agricultura,606,Extensão Rural,,
28526,14,Direitos da Cidadania,422,"Direitos Individuais, Coletivos e Difusos",,
28526,15,Urbanismo,451,Infraestrutura Urbana ,,
25905,26,Transporte,782,Transporte Rodoviário,,
29002,15,Urbanismo,452,Serviços Urbanos,,
29003,15,Urbanismo,451,Infraestrutura Urbana ,,
93,15,Urbanismo,451,Infraestrutura Urbana ,,
29196,15,Urbanismo,451,Infraestrutura Urbana ,,
3932,15,Urbanismo,451,Infraestrutura Urbana ,,
15186,20,Agricultura,608,Promoção da Produção Agropecuária,,
32581,15,Urbanismo,451,Infraestrutura Urbana ,,
29584,15,Urbanismo,451,Infraestrutura Urbana ,,
29584,27,Desporto e Lazer,813,Lazer,,
29586,14,Direitos da Cidadania,422,"Direitos Individuais, Coletivos e Difusos",,
16675,8,Assistência Social,244,Assistência Comunitária,,
16675,15,Urbanismo,451,Infraestrutura Urbana ,,
29590,15,Urbanismo,451,Infraestrutura Urbana ,,
18379,8,Assistência Social,243,Assistência à Criança e ao Adolescente,,
30963,12,Educação,361,Ensino Fundamental,,
21844,23,Comércio e Serviços,695,Turismo,,
19733,8,Assistência Social,243,Assistência à Criança e ao Adolescente,,
29627,20,Agricultura,605,Abastecimento,,
29628,15,Urbanismo,451,Infraestrutura Urbana ,,
29628,15,Urbanismo,452,Serviços Urbanos,,
29628,17,Saneamento,512,Saneamento Básico Urbano,,
33289,15,Urbanismo,451,Infraestrutura Urbana ,,
27880,10,Saúde,301,Atenção Básica,,
29630,10,Saúde,301,Atenção Básica,,
29631,15,Urbanismo,451,Infraestrutura Urbana ,,
27883,10,Saúde,301,Atenção Básica,,
29632,15,Urbanismo,451,Infraestrutura Urbana ,,
29633,15,Urbanismo,451,Infraestrutura Urbana ,,
29634,15,Urbanismo,451,Infraestrutura Urbana ,,
29635,15,Urbanismo,451,Infraestrutura Urbana ,,
29636,15,Urbanismo,451,Infraestrutura Urbana ,,
29567,20,Agricultura,608,Promoção da Produção Agropecuária,,
29637,20,Agricultura,608,Promoção da Produção Agropecuária,,
29638,20,Agricultura,608,Promoção da Produção Agropecuária,,
29562,20,Agricultura,608,Promoção da Produção Agropecuária,,
29639,12,Educação,361,Ensino Fundamental,,
13138,27,Desporto e Lazer,812,Desporto Comunitário,,
5849,18,Gestão Ambiental,541,Preservação e Conservação Ambiental,,
29640,15,Urbanismo,451,Infraestrutura Urbana ,,
29641,15,Urbanismo,451,Infraestrutura Urbana ,,
29997,20,Agricultura,606,Extensão Rural,31302.0,
29642,13,Cultura,391,"Patrimônio Histórico, Artístico e Arqueológico",,
30355,26,Transporte,782,Transporte Rodoviário,,
25722,6,Segurança Pública,181,Policiamento,,
29643,15,Urbanismo,451,Infraestrutura Urbana ,,
29644,15,Urbanismo,451,Infraestrutura Urbana ,,
94,27,Desporto e Lazer,812,Desporto Comunitário,,
95,6,Segurança Pública,181,Policiamento,,
95,6,Segurança Pública,182,Defesa Civil,,
95,20,Agricultura,608,Promoção da Produção Agropecuária,,
96,6,Segurança Pública,181,Policiamento,,
96,6,Segurança Pública,182,Defesa Civil,,
96,20,Agricultura,608,Promoção da Produção Agropecuária,,
97,6,Segurança Pública,181,Policiamento,,
97,6,Segurança Pública,182,Defesa Civil,,
97,20,Agricultura,608,Promoção da Produção Agropecuária,,
98,6,Segurança Pública,181,Policiamento,,
99,6,Segurança Pública,181,Policiamento,,
29645,8,Assistência Social,244,Assistência Comunitária,,
29646,20,Agricultura,608,Promoção da Produção Agropecuária,,
29647,15,Urbanismo,451,Infraestrutura Urbana ,,
9156,20,Agricultura,606,Extensão Rural,,
26459,26,Transporte,782,Transporte Rodoviário,,
